date,season,ldh_region,region_name,ed_visits,source_updated
2023-07-08,2023,9,Northshore,4,9/3/2026
2023-07-09,2023,1,Southeast,3,9/3/2026
2023-07-09,2023,2,Capital Region,0,9/3/2026
2023-07-09,2023,3,South Central,4,9/3/2026
2023-07-09,2023,9,Northshore,3,9/3/2026
2023-07-10,2023,1,Southeast,4,9/3/2026
2023-07-10,2023,2,Capital Region,2,9/3/2026
2023-07-10,2023,3,South Central,2,9/3/2026
2023-07-10,2023,9,Northshore,5,9/3/2026
2023-07-11,2023,1,Southeast,3,9/3/2026
2023-07-11,2023,2,Capital Region,2,9/3/2026
2023-07-11,2023,3,South Central,5,9/3/2026
2023-07-11,2023,9,Northshore,13,9/3/2026
2023-07-12,2023,1,Southeast,4,9/3/2026
2023-07-12,2023,2,Capital Region,7,9/3/2026
2023-07-12,2023,3,South Central,5,9/3/2026
2023-07-12,2023,9,Northshore,11,9/3/2026
2023-07-13,2023,1,Southeast,9,9/3/2026
2023-07-13,2023,2,Capital Region,6,9/3/2026
2023-07-13,2023,3,South Central,4,9/3/2026
2023-07-13,2023,9,Northshore,11,9/3/2026
2023-07-14,2023,1,Southeast,8,9/3/2026
2023-07-14,2023,2,Capital Region,3,9/3/2026
2023-07-14,2023,3,South Central,1,9/3/2026
2023-07-14,2023,9,Northshore,8,9/3/2026
2023-07-15,2023,1,Southeast,10,9/3/2026
2023-07-15,2023,2,Capital Region,8,9/3/2026
2023-07-15,2023,3,South Central,2,9/3/2026
2023-07-15,2023,9,Northshore,14,9/3/2026
2023-07-16,2023,1,Southeast,10,9/3/2026
2023-07-16,2023,2,Capital Region,2,9/3/2026
2023-07-16,2023,3,South Central,3,9/3/2026
2023-07-16,2023,9,Northshore,4,9/3/2026
2023-07-17,2023,1,Southeast,10,9/3/2026
2023-07-17,2023,2,Capital Region,1,9/3/2026
2023-07-17,2023,3,South Central,2,9/3/2026
2023-07-17,2023,9,Northshore,3,9/3/2026
2023-07-18,2023,1,Southeast,11,9/3/2026
2023-07-18,2023,2,Capital Region,5,9/3/2026
2023-07-18,2023,3,South Central,6,9/3/2026
2023-07-18,2023,9,Northshore,6,9/3/2026
2023-07-19,2023,1,Southeast,12,9/3/2026
2023-07-19,2023,2,Capital Region,4,9/3/2026
2023-07-19,2023,3,South Central,14,9/3/2026
2023-07-19,2023,9,Northshore,9,9/3/2026
2023-07-20,2023,1,Southeast,14,9/3/2026
